Model,Deployment,Llama Guard Paired N,ASR_nodef (95% CI),ASR_arcshield (95% CI),ΔASR (pp),Relative Reduction (%),Llama Guard Harm Rate (NoDef -> Arc),McNemar p-value
Cloudflare DeepSeek Distill Qwen 32B,Cloud,3118,"39.2% [37.5%, 40.9%]","22.0% [20.6%, 23.5%]",+17.2 pp,43.8%,24.9% -> 23.1%,5.55e-72 ***
Cloudflare Gemma 4 26B-A4B,Cloud,3152,"17.9% [16.6%, 19.3%]","14.4% [13.2%, 15.7%]",+3.5 pp,19.5%,18.1% -> 17.4%,3.84e-09 ***
Cloudflare Qwen3 30B-A3B,Cloud,2619,"26.5% [24.9%, 28.3%]","7.8% [6.8%, 8.9%]",+18.7 pp,70.6%,19.9% -> 17.1%,5.87e-110 ***
Gemini Flash-Lite,Cloud,2678,"21.3% [19.8%, 22.9%]","13.4% [12.2%, 14.7%]",+7.9 pp,37.0%,22.3% -> 18.1%,7.09e-32 ***
Groq Llama 3.1 8B Instant,Cloud,2576,"22.4% [20.9%, 24.1%]","11.5% [10.3%, 12.7%]",+11.0 pp,49.0%,20.3% -> 13.9%,1.80e-53 ***
Mistral Small,Cloud,2495,"30.5% [28.7%, 32.3%]","14.4% [13.1%, 15.8%]",+16.1 pp,52.8%,25.9% -> 20.0%,1.43e-87 ***
Ollama DeepSeek R1,Local,3175,"23.9% [22.5%, 25.5%]","6.9% [6.1%, 7.9%]",+17.0 pp,71.1%,20.7% -> 17.6%,4.33e-102 ***
Ollama Gemma 4,Local,3194,"20.1% [18.7%, 21.5%]","13.0% [11.9%, 14.2%]",+7.0 pp,35.1%,17.8% -> 16.7%,5.50e-29 ***
Ollama Llama 3.1 8B,Local,2952,"16.2% [14.9%, 17.6%]","4.1% [3.4%, 4.9%]",+12.1 pp,74.7%,15.2% -> 11.4%,3.74e-91 ***
Ollama Mistral 7B,Local,3171,"41.6% [39.9%, 43.3%]","15.2% [14.0%, 16.5%]",+26.4 pp,63.4%,24.0% -> 18.8%,7.48e-188 ***
Ollama Qwen3,Local,3162,"28.2% [26.7%, 29.8%]","6.4% [5.6%, 7.3%]",+21.8 pp,77.3%,19.7% -> 16.3%,1.11e-188 ***
**OVERALL LG-RESTRICTED**,All Configurations,32292,"26.3% [25.8%, 26.7%]","11.8% [11.4%, 12.1%]",+14.5 pp,**55.2%**,20.7% -> 17.3%,0.00e+00 ***
