Attack Category,N_Real,N_Synthetic,Synthetic %,Real ASR (no_defense),Synthetic ASR (no_defense),ΔASR (Syn - Real),Test,p-value
Accidental Context Leakage,2200,0,0.0%,"11.0% [9.7%, 12.3%] (n=2200)",N/A (0),N/A,None,N/A (100% Real)
Attention Shifting,2200,0,0.0%,"38.3% [36.3%, 40.4%] (n=2200)",N/A (0),N/A,None,N/A (100% Real)
Code Injection,2200,0,0.0%,"9.0% [7.9%, 10.3%] (n=2200)",N/A (0),N/A,None,N/A (100% Real)
Dictionary Attack,2013,187,8.5%,"17.3% [15.7%, 19.1%] (n=2013)","25.1% [19.5%, 31.8%] (n=187)",+7.8 pp,Chi-Square (df=1),0.0106 *
Direct Exploitation,2200,0,0.0%,"21.9% [20.2%, 23.6%] (n=2200)",N/A (0),N/A,None,N/A (100% Real)
Fill-in-the-Blank Attack,2200,0,0.0%,"7.4% [6.4%, 8.6%] (n=2200)",N/A (0),N/A,None,N/A (100% Real)
Hypothetical Manipulation,2200,0,0.0%,"57.8% [55.7%, 59.9%] (n=2200)",N/A (0),N/A,None,N/A (100% Real)
Indirect Injection,2200,0,0.0%,"14.4% [13.0%, 15.9%] (n=2200)",N/A (0),N/A,None,N/A (100% Real)
Jailbreaks,2200,0,0.0%,"9.8% [8.6%, 11.1%] (n=2200)",N/A (0),N/A,None,N/A (100% Real)
Logic Trap Attacks,2200,0,0.0%,"68.4% [66.4%, 70.3%] (n=2200)",N/A (0),N/A,None,N/A (100% Real)
Multi-Language Attack,2200,0,0.0%,"16.5% [15.0%, 18.1%] (n=2200)",N/A (0),N/A,None,N/A (100% Real)
Multi-Prompt Attack,561,1639,74.5%,"24.8% [21.4%, 28.5%] (n=561)","40.2% [37.9%, 42.6%] (n=1639)",+15.4 pp,Chi-Square (df=1),7.50e-11 ***
Obfuscation (Token Smuggling),1386,813,37.0%,"37.5% [35.0%, 40.1%] (n=1386)","43.1% [39.7%, 46.5%] (n=813)",+5.5 pp,Chi-Square (df=1),0.0119 *
Payload Splitting,869,1331,60.5%,"51.7% [48.3%, 55.0%] (n=869)","57.3% [54.6%, 59.9%] (n=1331)",+5.6 pp,Chi-Square (df=1),0.0114 *
Prompt Injection,1826,374,17.0%,"3.8% [3.0%, 4.8%] (n=1826)","13.9% [10.8%, 17.8%] (n=374)",+10.1 pp,Chi-Square (df=1),1.36e-14 ***
Role Playing / Pretending,2200,0,0.0%,"22.0% [20.4%, 23.8%] (n=2200)",N/A (0),N/A,None,N/A (100% Real)
