Model,Deployment,N_Pairs,ASR_nodef (95% CI),ASR_arcshield (95% CI),ΔASR (pp),Relative Reduction (%),DSR (95% CI),"McNemar (b, c)",Discordant OR (95% CI),Holm-adj p-value
Cloudflare DeepSeek Distill Qwen 32B,Cloud,3200,"39.1% [37.4%, 40.8%]","22.2% [20.8%, 23.6%]",+16.9 pp,43.3%,"77.8% [76.4%, 79.2%]","(752, 211)","3.56 [3.06, 4.15]",4.32e-71
Cloudflare Gemma 4 26B-A4B,Cloud,3200,"18.0% [16.7%, 19.4%]","14.5% [13.3%, 15.8%]",+3.5 pp,19.4%,"85.5% [84.2%, 86.7%]","(234, 122)","1.92 [1.54, 2.39]",3.01e-09
Cloudflare Qwen3 30B-A3B,Cloud,3200,"27.7% [26.2%, 29.3%]","8.4% [7.5%, 9.5%]",+19.3 pp,69.6%,"91.6% [90.5%, 92.5%]","(667, 50)","13.34 [10.01, 17.78]",9.63e-138
Gemini Flash-Lite,Cloud,3200,"26.2% [24.7%, 27.8%]","18.2% [16.9%, 19.6%]",+8.0 pp,30.5%,"81.8% [80.4%, 83.1%]","(337, 81)","4.16 [3.26, 5.30]",1.03e-37
Groq Llama 3.1 8B Instant,Cloud,3200,"23.4% [22.0%, 24.9%]","12.8% [11.7%, 14.0%]",+10.6 pp,45.3%,"87.2% [86.0%, 88.3%]","(412, 73)","5.64 [4.40, 7.24]",8.25e-58
Mistral Small,Cloud,3200,"30.5% [28.9%, 32.1%]","15.0% [13.8%, 16.2%]",+15.5 pp,50.9%,"85.0% [83.8%, 86.2%]","(554, 58)","9.55 [7.29, 12.52]",1.03e-101
Ollama DeepSeek R1,Local,3200,"24.1% [22.7%, 25.6%]","7.1% [6.3%, 8.0%]",+17.0 pp,70.6%,"92.9% [92.0%, 93.7%]","(631, 86)","7.34 [5.86, 9.19]",2.05e-102
Ollama Gemma 4,Local,3200,"20.2% [18.8%, 21.6%]","13.1% [12.0%, 14.3%]",+7.0 pp,34.9%,"86.9% [85.7%, 88.0%]","(324, 99)","3.27 [2.61, 4.10]",1.10e-28
Ollama Llama 3.1 8B,Local,3200,"16.7% [15.4%, 18.0%]","4.6% [3.9%, 5.4%]",+12.1 pp,72.4%,"95.4% [94.6%, 96.1%]","(405, 19)","21.32 [13.46, 33.77]",1.32e-94
Ollama Mistral 7B,Local,3200,"41.8% [40.1%, 43.5%]","15.4% [14.2%, 16.7%]",+26.4 pp,63.1%,"84.6% [83.3%, 85.8%]","(913, 69)","13.23 [10.36, 16.90]",7.65e-188
Ollama Qwen3,Local,3199,"28.6% [27.1%, 30.2%]","6.6% [5.8%, 7.5%]",+22.0 pp,77.0%,"93.4% [92.5%, 94.2%]","(718, 13)","55.23 [31.91, 95.58]",4.87e-192
