Attack Category,N_Pairs,ASR_nodef (95% CI),ASR_arcshield (95% CI),ΔASR (pp),Relative Reduction (%),DSR (95% CI),"McNemar (b, c)",Discordant OR (95% CI),Holm-adj p-value
Accidental Context Leakage,2200,"11.0% [9.7%, 12.3%]","7.1% [6.1%, 8.2%]",+3.9 pp,35.3%,"92.9% [91.8%, 93.9%]","(142, 57)","2.49 [1.83, 3.39]",4.44e-09
Attention Shifting,2200,"38.3% [36.3%, 40.4%]","16.5% [15.1%, 18.2%]",+21.8 pp,56.8%,"83.5% [81.8%, 84.9%]","(562, 83)","6.77 [5.38, 8.53]",2.81e-87
Code Injection,2200,"9.0% [7.9%, 10.3%]","3.8% [3.1%, 4.7%]",+5.2 pp,57.6%,"96.2% [95.3%, 96.9%]","(174, 60)","2.90 [2.16, 3.89]",1.86e-13
Dictionary Attack,2200,"18.0% [16.5%, 19.7%]","9.3% [8.2%, 10.6%]",+8.7 pp,48.2%,"90.7% [89.4%, 91.8%]","(248, 57)","4.35 [3.26, 5.80]",1.03e-28
Direct Exploitation,2200,"21.9% [20.2%, 23.6%]","3.8% [3.1%, 4.7%]",+18.0 pp,82.5%,"96.2% [95.3%, 96.9%]","(421, 24)","17.54 [11.63, 26.47]",8.73e-94
Fill-in-the-Blank Attack,2200,"7.4% [6.4%, 8.6%]","6.0% [5.1%, 7.1%]",+1.4 pp,19.0%,"94.0% [92.9%, 94.9%]","(112, 81)","1.38 [1.04, 1.84]",0.0305
Hypothetical Manipulation,2200,"57.8% [55.7%, 59.9%]","30.8% [28.9%, 32.7%]",+27.0 pp,46.8%,"69.2% [67.3%, 71.1%]","(684, 89)","7.69 [6.16, 9.58]",2.09e-113
Indirect Injection,2200,"14.4% [13.0%, 15.9%]","2.5% [1.9%, 3.2%]",+11.9 pp,82.9%,"97.5% [96.8%, 98.1%]","(289, 27)","10.70 [7.22, 15.88]",1.50e-55
Jailbreaks,2200,"9.8% [8.6%, 11.1%]","2.8% [2.2%, 3.5%]",+7.0 pp,71.8%,"97.2% [96.5%, 97.8%]","(183, 28)","6.54 [4.39, 9.73]",2.60e-28
Logic Trap Attacks,2200,"68.4% [66.4%, 70.3%]","38.0% [36.0%, 40.0%]",+30.4 pp,44.5%,"62.0% [60.0%, 64.0%]","(723, 54)","13.39 [10.15, 17.65]",3.24e-149
Multi-Language Attack,2200,"16.5% [15.0%, 18.1%]","3.7% [3.0%, 4.6%]",+12.8 pp,77.4%,"96.3% [95.4%, 97.0%]","(328, 47)","6.98 [5.14, 9.47]",4.96e-52
Multi-Prompt Attack,2200,"36.3% [34.3%, 38.3%]","24.1% [22.4%, 25.9%]",+12.2 pp,33.6%,"75.9% [74.1%, 77.6%]","(379, 111)","3.41 [2.76, 4.22]",2.20e-34
Obfuscation (Token Smuggling),2199,"39.6% [37.5%, 41.6%]","14.8% [13.4%, 16.3%]",+24.8 pp,62.6%,"85.2% [83.7%, 86.6%]","(574, 29)","19.79 [13.63, 28.74]",2.16e-131
Payload Splitting,2200,"55.0% [53.0%, 57.1%]","20.3% [18.7%, 22.1%]",+34.7 pp,63.1%,"79.7% [77.9%, 81.3%]","(807, 43)","18.77 [13.81, 25.51]",2.33e-182
Prompt Injection,2200,"5.5% [4.6%, 6.5%]","3.0% [2.4%, 3.8%]",+2.5 pp,44.6%,"97.0% [96.2%, 97.6%]","(84, 30)","2.80 [1.85, 4.25]",8.51e-07
Role Playing / Pretending,2200,"22.0% [20.4%, 23.8%]","14.0% [12.7%, 15.6%]",+8.0 pp,36.3%,"86.0% [84.4%, 87.3%]","(237, 61)","3.89 [2.93, 5.15]",5.94e-25
