Model,Deployment,N_Benign,BRR_nodef (95% CI),BRR_arcshield (95% CI),FFR_nodef (95% CI),FFR_arcshield (95% CI),ΔFFR (pp)
Cloudflare DeepSeek Distill Qwen 32B,Cloud,200,"3.0% [1.4%, 6.4%]","3.5% [1.7%, 7.0%]","22.5% [17.3%, 28.8%]","23.0% [17.7%, 29.3%]",+0.50 pp
Cloudflare Gemma 4 26B-A4B,Cloud,200,"0.0% [0.0%, 1.9%]","0.0% [0.0%, 1.9%]","22.5% [17.3%, 28.8%]","24.0% [18.6%, 30.4%]",+1.50 pp
Cloudflare Qwen3 30B-A3B,Cloud,200,"1.0% [0.3%, 3.6%]","0.5% [0.1%, 2.8%]","17.0% [12.4%, 22.8%]","16.5% [12.0%, 22.3%]",-0.50 pp
Gemini Flash-Lite,Cloud,200,"0.5% [0.1%, 2.8%]","0.0% [0.0%, 1.9%]","16.5% [12.0%, 22.3%]","18.5% [13.7%, 24.5%]",+2.00 pp
Groq Llama 3.1 8B Instant,Cloud,200,"0.0% [0.0%, 1.9%]","3.0% [1.4%, 6.4%]","19.0% [14.2%, 25.0%]","20.0% [15.0%, 26.1%]",+1.00 pp
Mistral Small,Cloud,200,"0.0% [0.0%, 1.9%]","0.0% [0.0%, 1.9%]","21.5% [16.4%, 27.7%]","21.0% [15.9%, 27.2%]",-0.50 pp
Ollama DeepSeek R1,Local,200,"0.0% [0.0%, 1.9%]","14.5% [10.3%, 20.0%]","21.5% [16.4%, 27.7%]","44.0% [37.3%, 50.9%]",+22.50 pp
Ollama Gemma 4,Local,200,"0.0% [0.0%, 1.9%]","0.0% [0.0%, 1.9%]","26.5% [20.9%, 33.0%]","24.5% [19.1%, 30.9%]",-2.00 pp
Ollama Llama 3.1 8B,Local,200,"0.0% [0.0%, 1.9%]","0.0% [0.0%, 1.9%]","26.0% [20.4%, 32.5%]","18.0% [13.3%, 23.9%]",-8.00 pp
Ollama Mistral 7B,Local,200,"0.0% [0.0%, 1.9%]","8.5% [5.4%, 13.2%]","20.5% [15.5%, 26.6%]","18.0% [13.3%, 23.9%]",-2.50 pp
Ollama Qwen3,Local,200,"0.0% [0.0%, 1.9%]","0.0% [0.0%, 1.9%]","15.0% [10.7%, 20.6%]","12.0% [8.2%, 17.2%]",-3.00 pp
