model,deployment,condition,valid_benign_n,benign_refusal_count,benign_refusal_rate,false_flag_count,false_flag_rate
CLOUDFLARE DEEPSEEK,Cloud,no_defense,200,6,0.03,45,0.225
CLOUDFLARE DEEPSEEK,Cloud,arcshield,200,7,0.035,46,0.23
CLOUDFLARE GEMMA 4,Cloud,no_defense,200,0,0.0,45,0.225
CLOUDFLARE GEMMA 4,Cloud,arcshield,200,0,0.0,48,0.24
CLOUDFLARE QWEN,Cloud,no_defense,200,2,0.01,34,0.17
CLOUDFLARE QWEN,Cloud,arcshield,200,1,0.005,33,0.165
GEMINI,Cloud,no_defense,200,1,0.005,33,0.165
GEMINI,Cloud,arcshield,200,0,0.0,37,0.185
GROQ LLAMA3.1,Cloud,no_defense,200,0,0.0,38,0.19
GROQ LLAMA3.1,Cloud,arcshield,200,6,0.03,40,0.2
MISTRAL,Cloud,no_defense,200,0,0.0,43,0.215
MISTRAL,Cloud,arcshield,200,0,0.0,42,0.21
OLLAMA DEEPSEEK R1,Local,no_defense,200,0,0.0,43,0.215
OLLAMA DEEPSEEK R1,Local,arcshield,200,29,0.145,88,0.44
OLLAMA GEMMA 4,Local,no_defense,200,0,0.0,53,0.265
OLLAMA GEMMA 4,Local,arcshield,200,0,0.0,49,0.245
OLLAMA LLAMA3.1,Local,no_defense,200,0,0.0,52,0.26
OLLAMA LLAMA3.1,Local,arcshield,200,0,0.0,36,0.18
OLLAMA MISTRAL,Local,no_defense,200,0,0.0,41,0.205
OLLAMA MISTRAL,Local,arcshield,200,17,0.085,36,0.18
OLLAMA QWEN3,Local,no_defense,200,0,0.0,30,0.15
OLLAMA QWEN3,Local,arcshield,200,0,0.0,24,0.12
