model,arcshield,no_defense,model_label,asr_reduction
ollama_llama3_1_8b,0.0459375,0.1665625,OLLAMA LLAMA3.1,0.12062500000000001
ollama_qwen3_latest,0.065625,0.2859375,OLLAMA QWEN3,0.22031250000000002
ollama_deepseek_r1_latest,0.0709375,0.24125,OLLAMA DEEPSEEK R1,0.17031249999999998
cloudflare_cf_qwen_qwen3_30b_a3b_fp8,0.084375,0.2771875,CLOUDFLARE QWEN,0.19281249999999997
groq_llama_3_1_8b_instant,0.12812500000000002,0.2340625,GROQ LLAMA3.1,0.10593749999999999
ollama_gemma4_latest,0.13125,0.2015625,OLLAMA GEMMA 4,0.0703125
cloudflare_cf_google_gemma_4_26b_a4b_it,0.145,0.18,CLOUDFLARE GEMMA 4,0.035
mistral_mistral_small_latest,0.1496875,0.3046875,MISTRAL,0.155
ollama_mistral_latest,0.154375,0.418125,OLLAMA MISTRAL,0.26375000000000004
google_gemini_flash_lite_latest,0.1821875,0.2621875,GEMINI,0.08000000000000002
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,0.2215625,0.390625,CLOUDFLARE DEEPSEEK,0.1690625
