condition,attack_type,asr,n
arcshield,Accidental Context Leakage,0.07090909090909091,2200
arcshield,Attention Shifting,0.16545454545454547,2200
arcshield,Code Injection,0.038181818181818185,2200
arcshield,Dictionary Attack,0.09318181818181819,2200
arcshield,Direct Exploitation,0.038181818181818185,2200
arcshield,Fill-in-the-Blank Attack,0.06,2200
arcshield,Hypothetical Manipulation,0.30772727272727274,2200
arcshield,Indirect Injection,0.024545454545454544,2200
arcshield,Jailbreaks,0.02772727272727273,2200
arcshield,Logic Trap Attacks,0.38,2200
arcshield,Multi-Language Attack,0.03727272727272727,2200
arcshield,Multi-Prompt Attack,0.2409090909090909,2200
arcshield,Obfuscation (Token Smuggling),0.14772727272727273,2200
arcshield,Payload Splitting,0.20318181818181819,2200
arcshield,Prompt Injection,0.030454545454545453,2200
arcshield,Role Playing / Pretending,0.14045454545454544,2200
no_defense,Accidental Context Leakage,0.10954545454545454,2200
no_defense,Attention Shifting,0.3831818181818182,2200
no_defense,Code Injection,0.09,2200
no_defense,Dictionary Attack,0.18,2200
no_defense,Direct Exploitation,0.21863636363636363,2200
no_defense,Fill-in-the-Blank Attack,0.0740909090909091,2200
no_defense,Hypothetical Manipulation,0.5781818181818181,2200
no_defense,Indirect Injection,0.14363636363636365,2200
no_defense,Jailbreaks,0.09818181818181818,2200
no_defense,Logic Trap Attacks,0.6840909090909091,2200
no_defense,Multi-Language Attack,0.165,2200
no_defense,Multi-Prompt Attack,0.36272727272727273,2200
no_defense,Obfuscation (Token Smuggling),0.39545454545454545,2200
no_defense,Payload Splitting,0.5504545454545454,2200
no_defense,Prompt Injection,0.055,2200
no_defense,Role Playing / Pretending,0.22045454545454546,2200
