model,model_label,deployment,asr_no_defense,asr_arcshield,asr_reduction_absolute,asr_reduction_relative,refusal_no_defense,refusal_arcshield,benign_refusal_rate,false_flag_rate,latency_refused_ms,latency_answered_ms,latency_overall_ms,pareto_no_defense,pareto_arcshield
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,CLOUDFLARE DEEPSEEK,Cloud,0.390625,0.2215625,0.1690625,0.4328,0.2221875,0.511875,0.035,0.23,34187.555095785436,41390.700962725256,38746.92133125,False,False
cloudflare_cf_google_gemma_4_26b_a4b_it,CLOUDFLARE GEMMA 4,Cloud,0.18,0.145,0.035,0.19444444444444448,0.495,0.490625,0.0,0.24,17580.371188966394,20765.910021565007,19196.036665625,True,False
cloudflare_cf_qwen_qwen3_30b_a3b_fp8,CLOUDFLARE QWEN,Cloud,0.2771875,0.084375,0.19281249999999997,0.6956031567080044,0.3365625,0.6465625,0.005,0.165,7808.2838048315325,11668.071247695143,9770.744482812499,False,True
google_gemini_flash_lite_latest,GEMINI,Cloud,0.2621875,0.1821875,0.08000000000000002,0.3051251489868892,0.3453125,0.4090625,0.0,0.185,3314.7870215410107,5958.137047165079,4961.098459375,False,False
groq_llama_3_1_8b_instant,GROQ LLAMA3.1,Cloud,0.2340625,0.128125,0.10593750000000002,0.4526034712950601,0.3484375,0.59375,0.03,0.2,1007.2583383084576,1563.1448330871494,1301.2701796875,True,True
mistral_mistral_small_latest,MISTRAL,Cloud,0.3046875,0.1496875,0.155,0.5087179487179487,0.2503125,0.539375,0.0,0.21,1406.6832528690147,2755.7685515104567,2223.090653125,False,False
ollama_deepseek_r1_latest,OLLAMA DEEPSEEK R1,Local,0.24125,0.0709375,0.17031249999999998,0.7059585492227979,0.39625,0.7721875,0.145,0.44,18227.093987697244,55453.489150695226,33705.131101562496,False,False
ollama_gemma4_latest,OLLAMA GEMMA 4,Local,0.2015625,0.13125,0.0703125,0.3488372093023256,0.4353125,0.5515625,0.0,0.245,18780.405322989234,47464.31015114127,33310.5958625,False,False
ollama_llama3_1_8b,OLLAMA LLAMA3.1,Local,0.1665625,0.0459375,0.12062500000000001,0.7242026266416511,0.47125,0.7971875,0.0,0.18,17270.6429563932,57775.052007689024,32086.396329687497,True,True
ollama_mistral_latest,OLLAMA MISTRAL,Local,0.418125,0.154375,0.26375000000000004,0.6307922272047833,0.0703125,0.600625,0.085,0.18,22282.50985561248,71471.56237009169,54970.172409374994,False,False
ollama_qwen3_latest,OLLAMA QWEN3,Local,0.2859375,0.065625,0.22031250000000002,0.7704918032786886,0.2978125,0.720625,0.0,0.12,19014.13823565511,75542.935307227,46757.4119234375,False,True
