model,deployment,condition,valid_n,mean_original_prompt_tokens,mean_system_prompt_tokens,mean_protected_context_tokens,mean_completion_tokens,mean_total_tokens,absolute_context_overhead_tokens,relative_context_overhead_percent,absolute_completion_token_change,relative_completion_token_change_percent,absolute_total_token_change,relative_total_token_change_percent
CLOUDFLARE DEEPSEEK,Cloud,no_defense,3200,121.4128125,0.0,121.4128125,586.315,707.7278125,0.0,0.0,0.0,0.0,0.0,0.0
CLOUDFLARE DEEPSEEK,Cloud,arcshield,3200,121.4128125,196.0,317.4128125,397.96,715.3728125,196.0,161.43271534871988,-188.35500000000008,-32.125222789797306,7.644999999999982,1.0802175447923323
CLOUDFLARE GEMMA 4,Cloud,no_defense,3200,121.4128125,0.0,121.4128125,195.05375,316.4665625,0.0,0.0,0.0,0.0,0.0,0.0
CLOUDFLARE GEMMA 4,Cloud,arcshield,3200,121.4128125,196.0,317.4128125,146.1690625,463.58187499999997,196.0,161.43271534871988,-48.88468750000001,-25.06216235268484,147.11531249999996,46.48684250804537
CLOUDFLARE QWEN,Cloud,no_defense,3200,121.4128125,0.0,121.4128125,218.6315625,340.044375,0.0,0.0,0.0,0.0,0.0,0.0
CLOUDFLARE QWEN,Cloud,arcshield,3200,121.4128125,196.0,317.4128125,63.1675,380.5803125,196.0,161.43271534871988,-155.4640625,-71.10778550100699,40.53593749999999,11.920778721894749
GEMINI,Cloud,no_defense,3200,121.4128125,0.0,121.4128125,147.9953125,269.40812500000004,0.0,0.0,0.0,0.0,0.0,0.0
GEMINI,Cloud,arcshield,3200,121.4128125,196.0,317.4128125,82.929375,400.34218749999997,196.0,161.43271534871988,-65.06593750000002,-43.964863752019184,130.93406249999992,48.60063611667239
GROQ LLAMA3.1,Cloud,no_defense,3200,121.4128125,0.0,121.4128125,122.805,244.2178125,0.0,0.0,0.0,0.0,0.0,0.0
GROQ LLAMA3.1,Cloud,arcshield,3200,121.4128125,196.0,317.4128125,74.3125,391.7253125,196.0,161.43271534871988,-48.49250000000001,-39.48739872155043,147.50749999999996,60.399975943605654
MISTRAL,Cloud,no_defense,3200,121.4128125,0.0,121.4128125,118.941875,240.3546875,0.0,0.0,0.0,0.0,0.0,0.0
MISTRAL,Cloud,arcshield,3200,121.4128125,196.0,317.4128125,51.786875,369.1996875,196.0,161.43271534871988,-67.155,-56.46035090669287,128.84499999999997,53.606193971149395
OLLAMA DEEPSEEK R1,Local,no_defense,3200,121.4128125,0.0,121.4128125,205.7915625,327.204375,0.0,0.0,0.0,0.0,0.0,0.0
OLLAMA DEEPSEEK R1,Local,arcshield,3200,121.4128125,196.0,317.4128125,57.715625,375.12843749999996,196.0,161.43271534871988,-148.0759375,-71.95432878838267,47.924062499999934,14.646522528923988
OLLAMA GEMMA 4,Local,no_defense,3200,121.4128125,0.0,121.4128125,195.119375,316.53218749999996,0.0,0.0,0.0,0.0,0.0,0.0
OLLAMA GEMMA 4,Local,arcshield,3200,121.4128125,196.0,317.4128125,76.76,394.17281249999996,196.0,161.43271534871988,-118.35937499999999,-60.65998058880621,77.640625,24.52850865285225
OLLAMA LLAMA3.1,Local,no_defense,3200,121.4128125,0.0,121.4128125,104.6,226.0128125,0.0,0.0,0.0,0.0,0.0,0.0
OLLAMA LLAMA3.1,Local,arcshield,3200,121.4128125,196.0,317.4128125,37.5325,354.9453125,196.0,161.43271534871988,-67.0675,-64.118068833652,128.9325,57.046544651091416
OLLAMA MISTRAL,Local,no_defense,3200,121.4128125,0.0,121.4128125,183.936875,305.34968749999996,0.0,0.0,0.0,0.0,0.0,0.0
OLLAMA MISTRAL,Local,arcshield,3200,121.4128125,196.0,317.4128125,92.575,409.98781249999996,196.0,161.43271534871988,-91.36187499999998,-49.67023333412617,104.638125,34.268292807733765
OLLAMA QWEN3,Local,no_defense,3199,121.2022507033448,0.0,121.2022507033448,165.33010315723664,286.53235386058145,0.0,0.0,0.0,0.0,0.0,0.0
OLLAMA QWEN3,Local,arcshield,3200,121.4128125,196.0,317.4128125,27.9846875,345.3975,196.0,161.43271534871988,-137.34541565723663,-83.07344702169256,58.86514613941853,20.54397883739881
