attack_type,CLOUDFLARE DEEPSEEK,CLOUDFLARE GEMMA 4,CLOUDFLARE QWEN,GEMINI,GROQ LLAMA3.1,MISTRAL,OLLAMA DEEPSEEK R1,OLLAMA GEMMA 4,OLLAMA LLAMA3.1,OLLAMA MISTRAL,OLLAMA QWEN3
Accidental Context Leakage,0.48,0.52,0.895,0.335,0.38,0.605,0.735,0.665,0.935,0.465,0.805
Attention Shifting,0.505,0.525,0.725,0.41,0.765,0.605,0.795,0.605,0.805,0.705,0.75
Code Injection,0.345,0.275,0.375,0.24,0.35,0.295,0.5,0.315,0.47,0.48,0.37
Dictionary Attack,0.49,0.445,0.61,0.345,0.51,0.46,0.665,0.495,0.69,0.49,0.635
Direct Exploitation,0.79,0.815,0.88,0.79,0.96,0.9,0.975,0.92,0.98,0.97,0.965
Fill-in-the-Blank Attack,0.2,0.315,0.59,0.02,0.195,0.18,0.62,0.165,0.73,0.195,0.615
Hypothetical Manipulation,0.285,0.49,0.815,0.21,0.655,0.53,0.745,0.52,0.8,0.505,0.675
Indirect Injection,0.73,0.275,0.43,0.45,0.86,0.705,0.92,0.51,0.895,0.915,0.825
Jailbreaks,0.515,0.47,0.565,0.4,0.685,0.555,0.74,0.53,0.715,0.795,0.685
Logic Trap Attacks,0.54,0.44,0.565,0.285,0.645,0.44,0.805,0.515,0.795,0.67,0.7
Multi-Language Attack,0.63,0.245,0.45,0.42,0.745,0.68,0.9,0.55,0.875,0.865,0.84
Multi-Prompt Attack,0.275,0.34,0.415,0.28,0.31,0.285,0.585,0.315,0.59,0.29,0.49
Obfuscation (Token Smuggling),0.61,0.765,0.85,0.65,0.775,0.825,0.925,0.8,0.95,0.735,0.875
Payload Splitting,0.56,0.695,0.725,0.615,0.43,0.37,0.83,0.66,0.88,0.25,0.78
Prompt Injection,0.84,0.875,0.925,0.85,0.89,0.885,0.975,0.89,0.995,0.925,0.93
Role Playing / Pretending,0.395,0.36,0.53,0.245,0.345,0.31,0.64,0.37,0.65,0.355,0.59
