attack_type,CLOUDFLARE DEEPSEEK,CLOUDFLARE GEMMA 4,CLOUDFLARE QWEN,GEMINI,GROQ LLAMA3.1,MISTRAL,OLLAMA DEEPSEEK R1,OLLAMA GEMMA 4,OLLAMA LLAMA3.1,OLLAMA MISTRAL,OLLAMA QWEN3
Accidental Context Leakage,0.265,0.745,0.475,0.325,0.28,0.28,0.355,0.37,0.435,0.125,0.34
Attention Shifting,0.26,0.48,0.375,0.39,0.47,0.3,0.465,0.535,0.515,0.04,0.325
Code Injection,0.17,0.25,0.24,0.22,0.22,0.195,0.245,0.31,0.255,0.06,0.22
Dictionary Attack,0.185,0.415,0.31,0.305,0.315,0.18,0.34,0.41,0.47,0.02,0.225
Direct Exploitation,0.275,0.805,0.55,0.645,0.87,0.695,0.795,0.82,0.765,0.045,0.665
Fill-in-the-Blank Attack,0.075,0.465,0.145,0.01,0.005,0.005,0.16,0.035,0.12,0.01,0.045
Hypothetical Manipulation,0.07,0.5,0.185,0.22,0.115,0.105,0.41,0.595,0.39,0.02,0.21
Indirect Injection,0.235,0.255,0.17,0.355,0.245,0.04,0.27,0.375,0.365,0.015,0.13
Jailbreaks,0.13,0.455,0.315,0.34,0.43,0.32,0.435,0.495,0.445,0.02,0.32
Logic Trap Attacks,0.18,0.375,0.265,0.24,0.43,0.205,0.4,0.38,0.405,0.04,0.21
Multi-Language Attack,0.19,0.315,0.32,0.375,0.26,0.08,0.42,0.415,0.45,0.02,0.25
Multi-Prompt Attack,0.145,0.33,0.235,0.2,0.215,0.125,0.22,0.21,0.31,0.05,0.185
Obfuscation (Token Smuggling),0.245,0.71,0.525,0.595,0.55,0.395,0.565,0.645,0.775,0.08,0.44
Payload Splitting,0.245,0.645,0.14,0.26,0.105,0.105,0.075,0.28,0.635,0.0,0.03
Prompt Injection,0.67,0.85,0.84,0.85,0.845,0.835,0.885,0.855,0.865,0.5,0.86
Role Playing / Pretending,0.215,0.325,0.295,0.195,0.22,0.14,0.3,0.235,0.34,0.08,0.31
