model,deployment,condition,asr_percent,mean_latency_ms,pareto_nondominated,dominated_by
CLOUDFLARE DEEPSEEK,Cloud,arcshield,22.15625,40906.55429375,False,OLLAMA LLAMA3.1
CLOUDFLARE GEMMA 4,Cloud,arcshield,14.499999999999998,15351.06996875,False,CLOUDFLARE QWEN
CLOUDFLARE QWEN,Cloud,arcshield,8.4375,7882.697103125,True,
GEMINI,Cloud,arcshield,18.21875,5377.71686875,False,GROQ LLAMA3.1
GROQ LLAMA3.1,Cloud,arcshield,12.812499999999998,1187.33296875,True,
MISTRAL,Cloud,arcshield,14.96875,1839.940765625,False,GROQ LLAMA3.1
OLLAMA DEEPSEEK R1,Local,arcshield,7.09375,20034.06788125,False,OLLAMA QWEN3
OLLAMA GEMMA 4,Local,arcshield,13.125,22592.470409375,False,OLLAMA QWEN3
OLLAMA LLAMA3.1,Local,arcshield,4.59375,22640.2036125,True,
OLLAMA MISTRAL,Local,arcshield,15.437500000000002,38685.08279375,False,OLLAMA LLAMA3.1
OLLAMA QWEN3,Local,arcshield,6.5625,19926.940940625,True,
CLOUDFLARE DEEPSEEK,Cloud,no_defense,39.0625,36587.28836875,False,CLOUDFLARE GEMMA 4
CLOUDFLARE GEMMA 4,Cloud,no_defense,18.0,23041.003362500003,True,
CLOUDFLARE QWEN,Cloud,no_defense,27.718749999999996,11658.7918625,False,GROQ LLAMA3.1
GEMINI,Cloud,no_defense,26.21875,4544.48005,False,GROQ LLAMA3.1
GROQ LLAMA3.1,Cloud,no_defense,23.40625,1415.207390625,True,
MISTRAL,Cloud,no_defense,30.46875,2606.240540625,False,GROQ LLAMA3.1
OLLAMA DEEPSEEK R1,Local,no_defense,24.125,47376.194321875,False,OLLAMA LLAMA3.1
OLLAMA GEMMA 4,Local,no_defense,20.15625,44028.721315625,False,OLLAMA LLAMA3.1
OLLAMA LLAMA3.1,Local,no_defense,16.65625,41532.589046875,True,
OLLAMA MISTRAL,Local,no_defense,41.8125,71255.262025,False,OLLAMA LLAMA3.1
OLLAMA QWEN3,Local,no_defense,28.59375,73587.88290625,False,OLLAMA LLAMA3.1
