file,Direct Exploitation,Jailbreaks,Prompt Injection,Indirect Injection,Role Playing,Attention Shifting,Logic Trap Attacks,Hypothetical Manipulation,Accidental Context Leakage,Code Injection,Dictionary Attack,Fill-in-the-Blank Attack,Multi-Language Attack,Multi-Prompt Attack,Obfuscation (Token Smuggling),Payload Splitting
dataset/Datasets.txt,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
dataset/Foot-in-the-door-Jailbreak_Data/advbench.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/Foot-in-the-door-Jailbreak_Data/benign-behaviors.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/Foot-in-the-door-Jailbreak_Data/harmbench.csv,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1
dataset/Foot-in-the-door-Jailbreak_Data/jailbreakbench.csv,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
dataset/Foot-in-the-door-Jailbreak_Data/prompt_harmbench.json,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
dataset/Foot-in-the-door-Jailbreak_Data/prompt_jailbreakbench.json,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0
dataset/JailbreakLLMs_Data/jailbreak_prompts.csv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dataset/JailbreakLLMs_Data/questions.csv,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1
dataset/JailbreakLLMs_Data/regular_prompts.csv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dataset/MAGIC_Data/advbench/harmful_behaviors.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/MAGIC_Data/advbench/harmful_strings.csv,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
dataset/MAGIC_Data/transfer_expriment_behaviors.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/MPA_Data/MaliciousInstruct_100.csv,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0
dataset/MPA_Data/harmful_behaviors_custom.csv,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
dataset/QueryAttack_Data/harmful_behaviors.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/QueryAttack_Data/llms/C#_translated.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/QueryAttack_Data/llms/C++_translated.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/QueryAttack_Data/llms/C_translated.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/QueryAttack_Data/llms/Go_translated.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/QueryAttack_Data/llms/JavaScript_translated.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/QueryAttack_Data/llms/Java_translated.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/QueryAttack_Data/llms/Python_translated.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/QueryAttack_Data/llms/SQL_translated.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/QueryAttack_Data/llms/URL_translated.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/QueryAttack_Data/llms/phrases.csv,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_00.json,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_01.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_02.json,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_03.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_04.json,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_05.json,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_06.json,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_07.json,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_08.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_09.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_10.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_11.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_12.json,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_13.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_14.json,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_15.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_16.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_17.json,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_18.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_19.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_20.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_21.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_22.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_23.json,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_24.json,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_25.json,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_26.json,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
dataset/TroGEN_Data/jailbreak_prompts/FRD/DI/FRD_DI_27.json,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
